date,bases,open_access_bases,bytes,open_access_bytes
"12/11/2015",4309951973129591,2593075587624017,2693212718367810,1707324510900341
"12/12/2015",4310803466073927,2593315802625037,2693792831126099,1707480659325577
"12/13/2015",4312237942954393,2594750279505503,2694569754445042,1708257582644520
"12/14/2015",4313061866702035,2595574203253145,2695106080477135,1708793908676613
"12/15/2015",4314707902355573,2597220238906683,2696091781187922,1709779609387400
"12/16/2015",4316755549316034,2599267885867144,2697328824143367,1711016652342845
"12/17/2015",4317828416345335,2600340752896445,2697940704846596,1711628533046074
"12/18/2015",4319032862526012,2601545199077122,2698664622209037,1712352450408515
"12/19/2015",4321897911889368,2604410248440478,2700393598190438,1714081426389916
"12/20/2015",4322282603955033,2604794940506143,2700640958513394,1714328786712872
"12/21/2015",4324094627871170,2606606964422280,2701714826904450,1715402655103928
"12/22/2015",4325136163151904,2607648499703014,2702274250144573,1715962078344051
"12/23/2015",4326797832572403,2609310169123513,2703364158912413,1717051987111891
"12/24/2015",4332953282806135,2613507502492557,2707075952960151,1719751866117795
"12/25/2015",4334109118489942,2614663338176364,2707753881175074,1720429794332718
"12/26/2015",4335506991484962,2616061211171384,2708566693068593,1721242606226237
"12/27/2015",4336837135314978,2617391355001400,2709294419734341,1721970332891985
"12/28/2015",4337870164553738,2618424384240160,2709990963375189,1722666876532833
"12/29/2015",4340495655936397,2621049875622819,2711716006337127,1724391919494771
"12/30/2015",4341351448473564,2621905668159986,2712248503970495,1724924417128139
"12/31/2015",4346110359945965,2626664579632387,2715296250869188,1727972164026832
"01/01/2016",4358958803641968,2639513023328390,2723099320547276,1735775233704920
"01/02/2016",4359833596338980,2640387816025402,2723663174159635,1736339087317279
"01/03/2016",4360190238808024,2640744458494446,2723861858456091,1736537771613735
"01/04/2016",4367923859365071,2648478079051493,2728558961338719,1741234874496363
"01/05/2016",4370951074912644,2651505294599066,2730489387932391,1743165301090035
"01/06/2016",4372711928811110,2653266148497532,2731591487434671,1744267400592315
"01/07/2016",4408314833860764,2658900945594078,2755392922186371,1748492121929424
"01/08/2016",4412113371490504,2660566357696952,2757892586902627,1749535834426559
"01/09/2016",4417428627487170,2661168296241218,2760488036002204,1749883192563099
"01/10/2016",4417729978167117,2661469646921165,2760647142314588,1750042298875483
"01/11/2016",4419037938620348,2662777607374396,2761481849991236,1750877006552131
"01/12/2016",4424679719062642,2668124258993486,2765529465156170,1754720667019975
"01/13/2016",4429207622235686,2672492173322341,2767882295479256,1756982949312223
"01/14/2016",4433075404494545,2675352637404700,2770217268948868,1758759495724974
"01/15/2016",4434640383563333,2676917616473488,2771121689620887,1759663916396993
"01/16/2016",4440275702762880,2677970429966379,2774433240871572,1760347572659340
"01/17/2016",4440515306897009,2678210034100508,2774552593894522,1760466925682290
"01/18/2016",4442107483652889,2679802210856388,2775545994821665,1761460326609433
"01/19/2016",4448997256576475,2686691983779974,2779541630540687,1765455962328455
"01/20/2016",4454081432819039,2691776160022538,2782849506466091,1768763838253859
"01/21/2016",4465175189916189,2699936191571584,2789256268621916,1773739954065978
"01/22/2016",4497679262647461,2702156376464044,2805485263332777,1774980563814541
"01/23/2016",4498107270885830,2702584384702413,2805749574475390,1775244874957154
"01/24/2016",4498827270874435,2703304384691018,2806142054200967,1775637354682731
"01/25/2016",4499726564100964,2704203677917547,2806726617436587,1776221917918351
"01/26/2016",4502776163380520,2705726847937077,2808466623938393,1776973053204511
"01/27/2016",4569137023589217,2706962662517475,2841396617267900,1777862775881825
"01/28/2016",4571899864496459,2709725503424717,2843098982852476,1779565141466401
"01/29/2016",4577664617945025,2715490256873283,2846100347369116,1782566505983041
"01/30/2016",4595152948751126,2716670816049541,2854452757196884,1783177033529476
